1640995200000,170.01000000,179.20000000,169.93000000,179.06000000,634599.39000000,1641081599999,110585214.91650000,179793,328250.16000000,57202310.01530000,0
1641081600000,179.06000000,179.53000000,174.31000000,176.35000000,620087.38000000,1641167999999,109509310.71340000,176256,313106.42000000,55294227.83680000,0
1641168000000,176.34000000,176.49000000,166.59000000,170.15000000,1031316.43000000,1641254399999,177240351.97020000,250131,537423.71000000,92331450.11780000,0
1641254400000,170.14000000,173.93000000,166.47000000,167.72000000,1041332.63000000,1641340799999,176538222.72980000,264666,507127.47000000,86029904.46010000,0
1641340800000,167.74000000,171.32000000,144.92000000,154.52000000,1659848.17000000,1641427199999,266979906.63840000,460130,775826.33000000,125014421.95460000,0
1641427200000,154.48000000,154.80000000,145.98000000,150.26000000,1575071.30000000,1641513599999,236312050.38370000,400706,783017.39000000,117506026.09910000,0
1641513600000,150.28000000,150.72000000,133.08000000,136.45000000,2719397.30000000,1641599999999,380212392.35150000,624203,1356742.09000000,189682437.97840000,0
1641600000000,136.43000000,148.11000000,133.00000000,142.14000000,2695415.51000000,1641686399999,380841698.63520000,596637,1333341.19000000,188360420.16050000,0
1641686400000,142.10000000,145.71000000,137.83000000,140.82000000,1435153.15000000,1641772799999,203808588.25020000,314235,708108.49000000,100610867.79930000,0
1641772800000,140.82000000,143.86000000,130.00000000,135.86000000,1894512.51000000,1641859199999,257484771.76580000,419461,941801.48000000,127988772.74650000,0
1641859200000,135.84000000,143.50000000,133.58000000,140.20000000,1328579.57000000,1641945599999,184178762.88540000,294874,655238.34000000,90779635.50150000,0
1641945600000,140.19000000,153.39000000,138.22000000,151.51000000,1946788.76000000,1642031999999,284704608.14150000,453450,1014395.70000000,148380253.91050000,0
1642032000000,151.50000000,157.80000000,145.41000000,146.14000000,1984121.59000000,1642118399999,300358586.19740000,471549,1004170.43000000,151995901.26560000,0
1642118400000,146.13000000,150.56000000,141.84000000,146.17000000,1428145.30000000,1642204799999,209190212.32340000,339770,702561.97000000,102878722.29010000,0
1642204800000,146.18000000,149.49000000,143.90000000,147.64000000,865014.75000000,1642291199999,126821898.96230000,205770,422395.84000000,61920893.60360000,0
1642291200000,147.61000000,151.96000000,146.09000000,147.98000000,964270.14000000,1642377599999,143408413.91330000,236998,475923.20000000,70802594.79260000,0
1642377600000,147.98000000,148.29000000,137.02000000,139.80000000,1297654.14000000,1642463999999,184551841.50540000,283258,619994.54000000,88125965.51980000,0
1642464000000,139.81000000,142.77000000,134.39000000,141.22000000,1254337.17000000,1642550399999,173470525.68410000,264708,612173.99000000,84700670.18250000,0
1642550400000,141.32000000,142.70000000,132.77000000,135.25000000,1175171.39000000,1642636799999,160857229.20320000,264765,579951.57000000,79386769.61740000,0
1642636800000,135.23000000,143.83000000,126.01000000,127.54000000,1464593.98000000,1642723199999,200702305.01300000,345417,731310.23000000,100360744.25440000,0
1642723200000,127.54000000,128.73000000,106.11000000,112.27000000,4523020.69000000,1642809599999,544063534.41050000,939567,2184275.76000000,262870033.23350000,0
1642809600000,112.24000000,114.89000000,87.73000000,94.54000000,6455608.98000000,1642895999999,635108263.42860000,1002353,3143606.01000000,308952787.29150000,0
1642896000000,94.57000000,104.82000000,93.25000000,99.78000000,3561751.04000000,1642982399999,351997642.88360000,592647,1815827.00000000,179513410.61140000,0
1642982400000,99.74000000,99.83000000,80.83000000,91.93000000,6990036.71000000,1643068799999,615205074.60800000,1012868,3409943.38000000,299702337.35510000,0
1643068800000,91.94000000,99.95000000,87.41000000,94.67000000,3482711.32000000,1643155199999,324014683.73600000,566575,1745302.72000000,162439606.67280000,0
1643155200000,94.65000000,104.43000000,89.19000000,92.12000000,4501340.69000000,1643241599999,434996978.69070000,713943,2255753.00000000,217969271.56690000,0
1643241600000,92.11000000,94.60000000,85.71000000,89.51000000,3530017.76000000,1643327999999,317470432.09290000,538274,1835683.58000000,165086278.14460000,0
1643328000000,89.51000000,93.55000000,87.21000000,91.34000000,2647317.17000000,1643414399999,240233251.68560000,388770,1362062.51000000,123682706.75540000,0
1643414400000,91.35000000,98.93000000,90.50000000,96.13000000,2050891.76000000,1643500799999,194994553.82940000,331238,1077225.35000000,102415973.06330000,0
1643500800000,96.15000000,97.60000000,91.38000000,93.29000000,1258037.51000000,1643587199999,118979094.23970000,221424,617532.34000000,58405719.68440000,0
1643587200000,93.26000000,101.40000000,89.18000000,99.49000000,2414101.55000000,1643673599999,229303857.83700000,373958,1257071.83000000,119365613.78570000,0
1643673600000,99.50000000,113.66000000,99.02000000,110.02000000,4190507.65000000,1643759999999,451677238.58920000,732735,2181320.44000000,235027830.30060000,0
1643760000000,109.99000000,112.35000000,96.99000000,101.88000000,4863358.10000000,1643846399999,514972931.54110000,757019,2472488.32000000,261826718.25030000,0
1643846400000,101.91000000,103.13000000,94.00000000,101.77000000,3886563.56000000,1643932799999,380416658.21750000,597409,2008174.48000000,196631906.84340000,0
1643932800000,101.83000000,112.81000000,100.28000000,112.62000000,4186388.28000000,1644019199999,446505812.57730000,668682,2157936.43000000,230203845.83200000,0
1644019200000,112.63000000,118.60000000,110.22000000,113.75000000,2649019.14000000,1644105599999,302738096.09850000,507784,1335840.50000000,152742158.90090000,0
1644105600000,113.74000000,116.06000000,111.09000000,115.28000000,1561795.12000000,1644191999999,177818919.26750000,299806,789970.50000000,89972768.01860000,0
1644192000000,115.26000000,121.93000000,112.69000000,117.55000000,2730695.80000000,1644278399999,323264554.64530000,547477,1407980.10000000,166687995.16650000,0
1644278400000,117.57000000,120.36000000,109.66000000,113.45000000,2811497.50000000,1644364799999,321854907.03260000,525305,1374047.33000000,157341837.50280000,0
1644364800000,113.44000000,117.08000000,109.40000000,113.93000000,2114411.38000000,1644451199999,240051448.33350000,366554,1062788.31000000,120689587.73920000,0
1644451200000,113.96000000,115.38000000,105.68000000,106.17000000,2781581.77000000,1644537599999,308218719.27830000,502177,1374188.86000000,152383952.06500000,0
1644537600000,106.18000000,108.14000000,95.14000000,96.53000000,2537227.68000000,1644623999999,261118404.06180000,450793,1266683.23000000,130430706.91680000,0
1644624000000,96.53000000,99.79000000,92.80000000,95.96000000,1803930.67000000,1644710399999,173107556.45310000,316001,904645.51000000,86851077.75790000,0
1644710400000,95.98000000,97.36000000,91.35000000,92.85000000,1216083.38000000,1644796799999,115326539.35910000,209303,631473.42000000,59929161.74210000,0
1644796800000,92.85000000,97.99000000,90.72000000,96.37000000,1792721.30000000,1644883199999,169748618.50190000,307476,917531.49000000,86918621.94310000,0
1644883200000,96.39000000,105.77000000,96.38000000,105.52000000,2362223.45000000,1644969599999,240632353.71540000,372791,1215093.32000000,123809188.48140000,0
1644969600000,105.52000000,105.60000000,98.27000000,101.86000000,2123159.11000000,1645055999999,215708905.36560000,326351,1074793.49000000,109218196.30380000,0
1645056000000,101.85000000,102.82000000,92.33000000,93.52000000,2001081.30000000,1645142399999,194565671.92560000,307937,965733.26000000,93944705.81720000,0
1645142400000,93.55000000,96.37000000,89.31000000,89.86000000,2010076.65000000,1645228799999,186100175.10810000,299519,969097.49000000,89702125.85020000,0
1645228800000,89.86000000,92.75000000,88.60000000,91.27000000,1285578.14000000,1645315199999,116505357.57010000,205722,635054.20000000,57583342.86360000,0
1645315200000,91.27000000,94.50000000,85.56000000,90.72000000,2559473.54000000,1645401599999,229568085.46210000,403374,1258935.71000000,113062278.77830000,0
1645401600000,90.70000000,96.14000000,82.62000000,82.96000000,4063082.80000000,1645487999999,365437826.78670000,573189,2026196.08000000,182268037.27800000,0
1645488000000,82.95000000,87.56000000,81.06000000,86.38000000,2835554.36000000,1645574399999,238850054.32760000,361422,1449002.18000000,122094300.61830000,0
1645574400000,86.39000000,93.40000000,84.38000000,84.59000000,3193694.10000000,1645660799999,284825279.11370000,446087,1581179.05000000,141085328.79010000,0
1645660800000,84.58000000,93.90000000,75.35000000,89.36000000,7497540.08000000,1645747199999,625458651.95770000,1032742,3780420.76000000,316003413.54440000,0
1645747200000,89.35000000,95.00000000,86.86000000,92.71000000,3691896.58000000,1645833599999,332795301.06720000,532273,1857528.50000000,167507861.07060000,0
1645833600000,92.73000000,95.49000000,89.23000000,90.23000000,2279602.17000000,1645919999999,209017446.49430000,347752,1113558.58000000,102126486.50630000,0
1645920000000,90.25000000,92.19000000,84.08000000,85.63000000,2593533.97000000,1646006399999,228781062.13150000,396197,1257121.49000000,110943166.77230000,0
1646006400000,85.61000000,103.00000000,84.17000000,99.68000000,4212075.57000000,1646092799999,392961670.09730000,666863,2137538.42000000,199549660.32660000,0
1646092800000,99.67000000,102.03000000,94.21000000,98.66000000,3665336.76000000,1646179199999,359368373.97610000,572030,1837769.13000000,180263667.61860000,0
1646179200000,98.65000000,106.43000000,96.76000000,100.68000000,4306326.64000000,1646265599999,441097205.65310000,689840,2185961.51000000,224014825.85980000,0
1646265600000,100.69000000,101.70000000,94.00000000,95.62000000,2595560.67000000,1646351999999,253940370.88100000,374852,1325251.55000000,129711142.34930000,0
1646352000000,95.63000000,95.94000000,87.00000000,88.32000000,2854970.19000000,1646438399999,260751773.12970000,364380,1413353.12000000,129131372.19830000,0
1646438400000,88.33000000,91.22000000,86.00000000,89.63000000,1495553.50000000,1646524799999,132577728.33570000,202202,766442.51000000,67975724.22720000,0
1646524800000,89.61000000,89.96000000,84.09000000,84.57000000,1828270.57000000,1646611199999,158938647.38890000,212997,919565.61000000,79961202.25570000,0
1646611200000,84.58000000,86.71000000,79.92000000,81.66000000,3230989.34000000,1646697599999,268367077.29160000,363488,1581807.88000000,131457031.86290000,0
1646697600000,81.65000000,85.04000000,81.30000000,82.32000000,2604534.79000000,1646783999999,216640314.70610000,268988,1288756.53000000,107247531.87650000,0
1646784000000,82.32000000,89.92000000,81.90000000,88.06000000,3355218.73000000,1646870399999,293276442.50090000,336022,1656118.93000000,144779609.56430000,0
1646870400000,88.06000000,88.57000000,80.63000000,82.87000000,2828491.21000000,1646956799999,235307930.78310000,288708,1379156.11000000,114671021.16840000,0
1646956800000,82.86000000,84.29000000,80.07000000,80.67000000,2528334.85000000,1647043199999,206921492.64020000,232541,1183428.02000000,96900077.17480000,0
1647043200000,80.67000000,82.75000000,80.57000000,81.38000000,1362268.13000000,1647129599999,111234273.65440000,128794,641797.89000000,52415337.25350000,0
1647129600000,81.40000000,83.34000000,77.65000000,78.73000000,2009434.97000000,1647215999999,162105572.65830000,198659,912856.48000000,73590054.97930000,0
1647216000000,78.72000000,82.29000000,78.00000000,81.22000000,2079919.39000000,1647302399999,167010301.55190000,209032,964467.08000000,77446948.26560000,0
1647302400000,81.23000000,85.99000000,78.72000000,82.84000000,2123603.37000000,1647388799999,173536935.31860000,249623,992773.73000000,81168252.85720000,0
1647388800000,82.84000000,87.98000000,81.53000000,87.77000000,2638790.33000000,1647475199999,222116241.77320000,313840,1318936.75000000,111066415.08670000,0
1647475200000,87.77000000,91.00000000,86.58000000,87.80000000,2616451.80000000,1647561599999,232117458.58860000,286766,1229076.55000000,109055930.28390000,0
1647561600000,87.80000000,92.28000000,84.41000000,89.80000000,2935949.01000000,1647647999999,257737465.02370000,283557,1385763.65000000,121609225.06390000,0
1647648000000,89.81000000,94.55000000,89.25000000,92.31000000,2058348.96000000,1647734399999,189155993.91810000,262632,1062341.41000000,97622352.90930000,0
1647734400000,92.31000000,92.55000000,87.82000000,88.62000000,1500458.29000000,1647820799999,135160820.53560000,169914,697997.16000000,62857380.42150000,0
1647820800000,88.62000000,91.28000000,86.74000000,88.59000000,1985082.57000000,1647907199999,176751354.78680000,203260,1012928.19000000,90221048.31620000,0
1647907200000,88.58000000,93.98000000,88.00000000,90.43000000,2611345.56000000,1647993599999,239094582.93730000,271852,1304268.17000000,119404119.95350000,0
1647993600000,90.44000000,96.36000000,89.19000000,94.89000000,2854825.20000000,1648079999999,265825349.01200000,297282,1493500.13000000,139165028.59570000,0
1648080000000,94.88000000,103.70000000,93.26000000,102.32000000,4777008.51000000,1648166399999,474517921.12920000,577470,2501927.04000000,248453993.29030000,0
1648166400000,102.32000000,104.86000000,96.95000000,98.60000000,3360440.57000000,1648252799999,341404558.23870000,437293,1656758.79000000,168444166.48660000,0
1648252800000,98.60000000,103.40000000,97.63000000,101.73000000,1906343.44000000,1648339199999,192503281.43750000,259494,967949.31000000,97722561.21900000,0
1648339200000,101.73000000,107.46000000,98.77000000,107.04000000,2351080.64000000,1648425599999,242015312.59720000,345634,1235334.26000000,127285453.98210000,0
1648425600000,107.04000000,113.87000000,105.22000000,105.75000000,4146023.22000000,1648511999999,454984710.52190000,653182,2087436.28000000,229173458.13590000,0
1648512000000,105.75000000,115.70000000,105.49000000,111.62000000,3727259.92000000,1648598399999,416037180.64630000,590421,1847845.03000000,206246798.99000000,0
1648598400000,111.62000000,125.26000000,107.11000000,120.82000000,5250424.16000000,1648684799999,615094936.70570000,827629,2742472.31000000,321357459.98010000,0
1648684800000,120.82000000,129.50000000,119.95000000,122.77000000,5143974.90000000,1648771199999,640563903.87990000,858853,2627728.56000000,327348923.13760000,0
1648771200000,122.79000000,138.40000000,117.39000000,134.52000000,5505077.63000000,1648857599999,704191459.02150000,995872,2891319.96000000,370222275.47900000,0
1648857600000,134.53000000,143.51000000,131.47000000,132.49000000,4193984.20000000,1648943999999,575683426.38680000,758063,2058206.92000000,282604887.33260000,0
1648944000000,132.48000000,141.11000000,130.52000000,136.90000000,2964507.05000000,1649030399999,405018764.78330000,540376,1504656.67000000,205685994.10960000,0
1649030400000,136.90000000,138.29000000,125.82000000,132.14000000,3456901.43000000,1649116799999,457752604.04450000,582791,1707581.22000000,226157940.11810000,0
1649116800000,132.14000000,136.63000000,126.07000000,126.87000000,2833885.54000000,1649203199999,374058737.72250000,542422,1422223.85000000,187819028.38130000,0
1649203200000,126.88000000,127.40000000,112.10000000,112.95000000,4266870.20000000,1649289599999,512273613.69530000,740311,2025250.65000000,243339132.46360000,0
1649289600000,112.94000000,120.00000000,110.88000000,118.48000000,3326346.75000000,1649375999999,383156868.67510000,581932,1697571.62000000,195657501.66230000,0
1649376000000,118.47000000,122.42000000,108.10000000,109.92000000,3328966.49000000,1649462399999,387721449.44750000,550158,1660636.63000000,193727254.32350000,0
1649462400000,109.92000000,113.69000000,108.28000000,112.96000000,1376896.77000000,1649548799999,152114680.89220000,246823,701537.30000000,77520932.58960000,0
1649548800000,112.97000000,116.09000000,109.71000000,111.07000000,1560720.04000000,1649635199999,175614158.75590000,282125,742815.64000000,83659173.16670000,0
1649635200000,111.06000000,111.94000000,98.10000000,99.67000000,3332133.13000000,1649721599999,348238454.50940000,491379,1606765.25000000,167966343.06120000,0
1649721600000,99.64000000,109.36000000,98.31000000,103.22000000,3527634.19000000,1649807999999,366259936.41940000,526763,1779367.32000000,184779552.32830000,0
1649808000000,103.21000000,106.04000000,100.09000000,104.94000000,2204306.40000000,1649894399999,228562636.82470000,352611,1125144.84000000,116670986.68190000,0
1649894400000,104.92000000,107.72000000,98.77000000,100.77000000,2711073.76000000,1649980799999,279743555.62110000,359790,1348458.15000000,139153541.94740000,0
1649980800000,100.77000000,102.91000000,99.55000000,101.31000000,1384490.37000000,1650067199999,140391145.66650000,216894,727000.64000000,73734270.96000000,0
