trade_id,entry_timestamp,exit_timestamp,direction,entry_price,exit_price,return_pct,mfe_pct,mae_pct,peak_unrealized_pct,profit_given_back,hours_in_trade,exit_reason,leverage,equity_before,equity_after
1,2025-12-19T09:00:00.000Z,2025-12-23T05:00:00.000Z,short,126.16,123.3,2.2670,2.2670,-1.4743,2.2670,0.0000,92.00,opposite_signal,1,10000.00,10226.70
2,2025-12-27T17:00:00.000Z,2025-12-30T05:00:00.000Z,short,124.05,125.03,-0.7900,0.9029,-3.5470,0.9029,1.6929,60.00,opposite_signal,1,10226.70,10145.90
3,2026-01-07T13:00:00.000Z,2026-01-08T17:00:00.000Z,long,136.27,140.64,3.2069,3.2069,-1.2255,3.2069,0.0000,28.00,opposite_signal,1,10145.90,10471.27
4,2026-01-10T05:00:00.000Z,2026-01-11T09:00:00.000Z,long,136.25,139.27,2.2165,2.2165,-0.4183,2.2165,0.0000,28.00,opposite_signal,1,10471.27,10703.37
5,2026-01-15T09:00:00.000Z,2026-01-21T17:00:00.000Z,long,141.51,129.73,-8.3245,2.3461,-11.2006,2.3461,10.6706,152.00,opposite_signal,1,10703.37,9812.37
6,2026-01-23T13:00:00.000Z,2026-01-25T09:00:00.000Z,short,127.28,117.83,7.4246,7.4246,-0.3457,7.4246,0.0000,44.00,take_profit_5pct,1,9812.37,10540.89
7,2026-01-26T01:00:00.000Z,2026-01-28T17:00:00.000Z,short,122.38,122.88,-0.4086,0.0000,-4.5923,0.0000,0.4086,64.00,opposite_signal,1,10540.89,10497.83
8,2026-01-30T09:00:00.000Z,2026-01-31T05:00:00.000Z,short,118.12,108.5,8.1443,8.1443,-0.0762,8.1443,0.0000,20.00,take_profit_5pct,1,10497.83,11352.80
9,2026-01-31T05:00:00.000Z,2026-01-31T09:00:00.000Z,short,108.5,101.63,6.3318,6.3318,0.0000,6.3318,0.0000,4.00,take_profit_5pct,1,11352.80,12071.63
10,2026-02-02T17:00:00.000Z,2026-02-03T13:00:00.000Z,short,104.06,97.75,6.0638,6.0638,-0.5189,6.0638,0.0000,20.00,opposite_signal,1,12071.63,12803.63
11,2026-02-06T01:00:00.000Z,2026-02-09T01:00:00.000Z,short,81.28,83.39,-2.5960,0.0000,-8.6983,0.0000,2.5960,72.00,opposite_signal,1,12803.63,12471.26
12,2026-02-12T01:00:00.000Z,2026-02-12T09:00:00.000Z,short,81.86,77.56,5.2529,5.2529,0.0000,5.2529,0.0000,8.00,take_profit_5pct,1,12471.26,13126.35
13,2026-02-13T05:00:00.000Z,2026-02-15T13:00:00.000Z,short,83.15,86.1,-3.5478,0.0000,-9.0800,0.0000,3.5478,56.00,opposite_signal,1,13126.35,12660.66
14,2026-02-22T09:00:00.000Z,2026-02-24T17:00:00.000Z,long,83.27,81.74,-1.8374,0.0000,-7.8179,0.0000,1.8374,56.00,opposite_signal,1,12660.66,12428.03
15,2026-02-28T09:00:00.000Z,2026-03-05T21:00:00.000Z,short,82.22,88.42,-7.5407,0.0000,-13.9990,0.0000,7.5407,132.00,opposite_signal,1,12428.03,11490.86
16,2026-03-09T10:00:00.000Z,2026-03-11T22:00:00.000Z,short,85.07,85.02,0.0588,0.6348,-3.8556,0.6348,0.5760,60.00,opposite_signal,1,11490.86,11497.62
